"id","code","name"
1430,C22192,산업용 그 외 비경화 고무제품 제조업
1431,C22193,고무 의류 및 기타 위생용 비경화 고무제품 제조업
1432,C22199,그 외 기타 고무제품 제조업
1433,C22211,"플라스틱 선, 봉, 관 및 호스 제조업"
1434,C22212,플라스틱 필름 제조업
1435,C22213,플라스틱 시트 및 판 제조업
1436,C22214,플라스틱 합성피혁 제조업
1437,C22221,벽 및 바닥 피복용 플라스틱제품 제조업
1438,C22222,설치용 및 위생용 플라스틱제품 제조업
1439,C22223,플라스틱 창호 제조업
1440,C22229,기타 건축용 플라스틱 조립제품 제조업
1441,C22231,"플라스틱 포대, 봉투 및 유사제품 제조업"
1442,C22232,포장용 플라스틱 성형용기 제조업
1443,C22241,운송장비 조립용 플라스틱제품 제조업
1444,C22249,기타 기계ㆍ장비 조립용 플라스틱 제품 제조업
1445,C22251,폴리스티렌 발포 성형제품 제조업
1446,C22259,기타 플라스틱 발포 성형제품 제조업
1447,C22291,플라스틱 접착처리 제품 제조업
1448,C22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업"
1449,C22299,그 외 기타 플라스틱 제품 제조업
1450,C23111,판유리 제조업
1451,C23112,안전유리 제조업
1452,C23119,기타 판유리 가공품 제조업
1453,C23121,"1차 유리제품, 유리섬유 및 광학용 유리 제조업"
1454,C23122,디스플레이 장치용 유리 제조업
1455,C23129,기타 산업용 유리제품 제조업
1456,C23191,가정용 유리제품 제조업
1457,C23192,포장용 유리용기 제조업
1458,C23199,그 외 기타 유리제품 제조업
1459,C23211,정형 내화 요업제품 제조업
1460,C23212,부정형 내화 요업제품 제조업
1461,C23221,가정용 및 장식용 도자기 제조업
1462,C23222,위생용 및 산업용 도자기 제조업
1463,C23229,기타 일반 도자기 제조업
1464,C23231,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업"
1465,C23232,타일 및 유사 비내화 요업제품 제조업
1466,C23239,기타 건축용 비내화 요업제품 제조업
1467,C23311,시멘트 제조업
1468,C23312,석회 및 플라스터 제조업
1469,C23321,비내화 모르타르 제조업
1470,C23322,레미콘 제조업
1471,C23323,플라스터 혼합제품 제조업
1472,C23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업"
1473,C23325,콘크리트 관 및 기타 구조용 콘크리트제품 제조업
1474,C23326,인조대리석 제품 제조업
1475,C23329,그 외 기타 콘크리트 제품 및 유사제품 제조업
1476,C23911,건설용 석제품 제조업
1477,C23919,기타 석제품 제조업
1478,C23991,아스팔트 콘크리트 및 혼합제품 제조업
1479,C23992,연마재 제조업
1480,C23993,비금속광물 분쇄물 생산업
1481,C23994,암면 및 유사제품 제조업
1482,C23995,탄소섬유 제조업
1483,C23999,그 외 기타 분류 안된 비금속 광물제품 제조업
1484,C24111,제철업
1485,C24112,제강업
1486,C24113,합금철 제조업
1487,C24119,기타 제철 및 제강업
1488,C24121,열간 압연 및 압출 제품 제조업
1489,C24122,냉간 압연 및 압출 제품 제조업
1490,C24123,철강선 제조업
1491,C24131,주철관 제조업
1492,C24132,강관 제조업
1493,C24133,강관 가공품 및 관 연결구류 제조업
1494,C24191,"도금, 착색 및 기타 표면처리강재 제조업"
1495,C24199,그 외 기타 1차 철강 제조업
1496,C24211,"동 제련, 정련 및 합금 제조업"
1497,C24212,"알루미늄 제련, 정련 및 합금 제조업"
1498,C24213,"연 및 아연 제련, 정련 및 합금 제조업"
1499,C24219,"기타 비철금속 제련, 정련 및 합금 제조업"
1500,C24221,"동 압연, 압출 및 연신제품 제조업"
1501,C24222,"알루미늄 압연, 압출 및 연신제품 제조업"
1502,C24229,"기타 비철금속 압연, 압출 및 연신 제품 제조업"
1503,C24290,기타 1차 비철금속 제조업
1504,C24311,선철주물 주조업
1505,C24312,강주물 주조업
1506,C24321,알루미늄주물 주조업
1507,C24329,기타 비철금속 주조업
1508,C25111,"금속 문, 창, 셔터 및 관련제품 제조업"
1509,C25112,구조용 금속 판제품 및 공작물 제조업
1510,C25113,육상 금속 골조 구조재 제조업
1511,C25114,수상 금속 골조 구조재 제조업
1512,C25119,기타 구조용 금속제품 제조업
1513,C25121,산업용 난방보일러 및 방열기 제조업
1514,C25122,금속탱크 및 저장용기 제조업
1515,C25123,압축 및 액화 가스용기 제조업
1516,C25130,핵반응기 및 증기보일러 제조업
1517,C25200,무기 및 총포탄 제조업
1518,C25911,분말 야금제품 제조업
1519,C25912,금속 단조제품 제조업
1520,C25913,자동차용 금속 압형제품 제조업
1521,C25914,그 외 금속 압형제품 제조업
1522,C25921,금속 열처리업
1523,C25922,도금업
1524,C25923,도장 및 기타 피막처리업
1525,C25924,절삭가공 및 유사처리업
1526,C25929,그 외 기타 금속가공업
1527,C25931,날붙이 제조업
1528,C25932,일반철물 제조업
1529,C25933,비동력식 수공구 제조업
1530,C25934,톱 및 호환성 공구 제조업
1531,C25941,볼트 및 너트류 제조업
1532,C25942,그 외 금속파스너 및 나사제품 제조업
1533,C25943,금속 스프링 제조업
1534,C25944,금속선 가공제품 제조업
1535,C25991,금속 캔 및 기타 포장용기 제조업
1536,C25992,수동식 식품 가공기기 및 금속 주방용기 제조업
1537,C25993,금속 위생용품 제조업
1538,C25994,금속 표시판 제조업
1539,C25995,피복 및 충전 용접봉 제조업
1540,C25999,그 외 기타 분류 안된 금속 가공 제품 제조업
1541,C26111,메모리용 전자집적회로 제조업
1542,C26112,비메모리용 및 기타 전자집적회로 제조업
1543,C26121,발광 다이오드 제조업
1544,C26129,기타 반도체소자 제조업
1545,C26211,액정 표시장치 제조업
1546,C26212,유기발광 표시장치 제조업
1547,C26219,기타 표시장치 제조업
1548,C26221,인쇄회로기판용 적층판 제조업
1549,C26222,경성 인쇄회로기판 제조업
1550,C26223,연성 및 기타 인쇄회로기판 제조업
1551,C26224,전자부품 실장기판 제조업
1552,C26291,전자축전기 제조업
1553,C26292,전자저항기 및 전자카드 제조업
1554,C26293,"전자코일, 변성기 및 기타 전자 유도자 제조업"
1555,C26294,전자감지장치 제조업
1556,C26299,그 외 기타 전자부품 제조업
1557,C26310,컴퓨터 제조업
1558,C26321,기억장치 제조업
1559,C26322,컴퓨터 모니터 제조업
1560,C26323,컴퓨터 프린터 제조업
1561,C26329,기타 주변기기 제조업
1562,C26410,유선 통신장비 제조업
1563,C26421,방송장비 제조업
1564,C26422,이동전화기 제조업
1565,C26429,기타 무선 통신장비 제조업
1566,C26511,텔레비전 제조업
1567,C26519,비디오 및 기타 영상기기 제조업
1568,C26521,"라디오, 녹음 및 재생 기기 제조업"
1569,C26529,기타 음향기기 제조업
1570,C26600,마그네틱 및 광학 매체 제조업
1571,C27111,방사선 장치 제조업
1572,C27112,전기식 진단 및 요법 기기 제조업
1573,C27191,치과용 기기 제조업
1574,C27192,치과기공물 제조업
1575,C27193,치과용 임플란트 제조업
1576,C27194,정형 외과용 및 신체 보정용 기기 제조업
1577,C27195,안경 및 안경렌즈 제조업
1578,C27196,의료용 가구 제조업
1579,C27199,그 외 기타 의료용 기기 제조업
1580,C27211,"레이더, 항행용 무선기기 및 측량기구 제조업"
1581,C27212,"전자기 측정, 시험 및 분석기구 제조업"
1582,C27213,"물질 검사, 측정 및 분석기구 제조업"
1583,C27214,속도계 및 적산계기 제조업
1584,C27215,기기용 자동측정 및 제어장치 제조업
1585,C27216,산업처리공정 제어장비 제조업
1586,C27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업"
1587,C27220,시계 및 시계부품 제조업
1588,C27301,광학렌즈 및 광학요소 제조업
1589,C27309,기타 광학기기 및 사진기 제조업
1590,C28111,전동기 및 발전기 제조업
1591,C28112,변압기 제조업
1592,C28113,에너지 저장장치 제조업
1593,C28119,기타 전기 변환장치 제조업
1594,C28121,"전기회로 개폐, 보호장치 제조업"
1595,C28122,전기회로 접속장치 제조업
1596,C28123,배전반 및 전기 자동제어반 제조업
1597,C28201,일차전지 제조업
1598,C28202,운송장비용 이차전지 제조업
1599,C28209,기타 이차전지 제조업
1600,C28301,광섬유 케이블 제조업
1601,C28302,기타 절연선 및 케이블 제조업
1602,C28303,절연 코드세트 및 기타 도체 제조업
1603,C28410,전구 및 램프 제조업
1604,C28421,운송장비용 조명장치 제조업
1605,C28422,일반용 전기 조명장치 제조업
1606,C28423,전시 및 광고용 조명장치 제조업
1607,C28429,기타 조명장치 제조업
1608,C28511,주방용 전기기기 제조업
